t,y
12.260000,-0.953434
12.270000,-0.956403
12.280000,-0.959275
12.290000,-0.962052
12.300000,-0.964733
12.310000,-0.967317
12.320000,-0.969804
12.330000,-0.972194
12.340000,-0.974487
12.350000,-0.976683
12.360000,-0.978781
12.370000,-0.980781
12.380000,-0.982683
12.390000,-0.984487
12.400000,-0.986192
12.410000,-0.987799
12.420000,-0.989307
12.430000,-0.990716
12.440000,-0.992026
12.450000,-0.993237
12.460000,-0.994348
12.470000,-0.995360
12.480000,-0.996272
12.490000,-0.997085
12.500000,-0.997798
12.510000,-0.998412
12.520000,-0.998925
12.530000,-0.999339
12.540000,-0.999652
12.550000,-0.999866
12.560000,-0.999980
